model,n,top_A,top_B,top_C,avg_embedding_similarity,avg_extra_number_count,avg_extra_number_ratio,avg_extra_entity_count,avg_specificity_expansion,avg_financial_register_score,avg_statistical_register_score,avg_register_score,avg_syntactic_complexity,avg_translationese_score
anthropic__claude-sonnet-4.6,200,45,83,72,0.896184,0.7,0.291641,0.86,0.097886,0.794821,0.462591,0.645317,0.445883,0.153765
google__gemini-3-flash-preview,200,69,69,62,0.895149,0.7,0.294427,0.88,0.099285,0.796483,0.467224,0.648316,0.442688,0.149327
moonshotai__kimi-k2.5,200,72,78,50,0.894823,0.7,0.290141,0.875,0.099222,0.800108,0.459586,0.646873,0.441225,0.151366
openai__gpt-5.2,200,70,70,60,0.896252,0.705,0.295677,0.895,0.099895,0.79642,0.441417,0.636669,0.443684,0.153265
