model,n,top_A,top_B,top_C,avg_clause_count,avg_dependency_depth,avg_mean_dependency_distance,avg_max_dependency_distance,avg_normalized_dependency_distance,avg_nominalization_ratio,avg_modifier_density,avg_coordination_count,avg_passive_count,avg_sentence_compression_ratio
anthropic__claude-sonnet-4.6,200,49,84,67,10.59,6.8,3.515393,30.8,0.044602,0.567668,0.480848,6.985,3.42,0.646349
deepseek__deepseek-v4-flash,200,74,75,51,10.665,6.78,3.522763,30.75,0.044292,0.565904,0.476392,6.96,3.58,0.653534
google__gemini-3-flash-preview,200,47,77,76,10.65,6.76,3.519914,30.875,0.04457,0.565328,0.476711,6.88,3.425,0.646314
moonshotai__kimi-k2.5,200,71,72,57,10.52,6.765,3.504441,30.23,0.044816,0.565265,0.479789,6.87,3.41,0.640466
openai__gpt-5.2,200,47,78,75,10.525,6.755,3.52194,30.56,0.044774,0.567615,0.482115,6.8,3.465,0.645783
