version,direction,id,candidate,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length,clause_count_native_z,dependency_depth_native_z,mean_dependency_distance_native_z,max_dependency_distance_native_z,normalized_dependency_distance_native_z,nominalization_ratio_native_z,modifier_density_native_z,coordination_count_native_z,passive_count_native_z,sentence_compression_ratio_native_z,token_count_native_z,sentence_count_native_z,avg_sentence_length_native_z
claude-version,CE,007,B,13.0,8.0,4.542056,22.0,0.042449,0.535714,0.396396,6.0,3.0,0.674603,111.0,4.0,27.75,4.313942741,1.448162002,1.630929239,-0.000888353,-1.848617465,-0.529894775,-0.824412231,1.120037315,1.685513898,-1.789534253,5.848673622,9.342405822,-0.110426521
claude-version,CE,007,C,14.0,7.0,4.302083,31.0,0.044813,0.57234,0.333333,7.0,14.0,0.595238,99.0,3.0,33.0,4.774224285,0.895892151,1.270567896,0.767878982,-1.801696629,-0.270873294,-1.362522155,1.448320718,9.960374596,-1.838069473,4.974978755,6.149075968,0.307377462
claude-version,CE,008,A,23.0,8.0,3.409091,33.0,0.025826,0.647656,0.352518,19.0,0.0,0.746667,139.0,7.0,19.857143,8.916758179,1.448162002,-0.07041545,0.938716167,-2.178551922,0.261766411,-1.198818575,5.387721556,-0.571266292,-1.74546392,7.887294981,18.922395385,-0.738553587
claude-version,CE,008,B,22.0,10.0,3.383117,39.0,0.021968,0.644118,0.385093,18.0,0.0,0.88,161.0,7.0,23.0,8.456476636,2.552701702,-0.109419944,1.451227724,-2.255125774,0.236745442,-0.920859537,5.059438153,-0.571266292,-1.663924874,9.489068905,18.922395385,-0.488439649
claude-version,CE,008,C,22.0,8.0,3.01626,26.0,0.024522,0.538596,0.267176,18.0,0.0,0.666667,131.0,8.0,16.375,8.456476636,1.448162002,-0.660319759,0.340786018,-2.204433805,-0.509513081,-1.927032856,5.059438153,-0.571266292,-1.79438747,7.304831736,22.115725239,-1.015668485
claude-version,CE,009,A,9.0,4.0,3.727273,22.0,0.048406,0.637179,0.556962,5.0,18.0,0.833333,79.0,2.0,39.5,2.472816566,-0.7609174,0.407390357,-0.000888353,-1.730382516,0.187672378,0.545680505,0.791753912,12.96941485,-1.692463815,3.518820642,2.955746113,0.824658584
claude-version,CE,009,B,10.0,5.0,4.097222,32.0,0.056906,0.644872,0.527027,7.0,13.0,0.761905,74.0,2.0,37.0,2.93309811,-0.208647549,0.962933349,0.853297575,-1.561673926,0.24207778,0.290248309,1.448320718,9.208114532,-1.736145207,3.154781113,2.955746113,0.625704306
claude-version,CE,009,C,9.0,6.0,3.590164,24.0,0.058855,0.598485,0.555556,6.0,8.0,0.654762,63.0,2.0,31.5,2.472816566,0.343622301,0.201497263,0.169948832,-1.522990039,-0.085974135,0.533683255,1.120037315,5.446814215,-1.801667905,2.353894151,2.955746113,0.188004895
claude-version,CE,010,A,7.0,7.0,3.568182,26.0,0.081095,0.347917,0.4,3.0,4.0,0.623188,45.0,1.0,45.0,1.552253478,0.895892151,0.168487453,0.340786018,-1.081568976,-1.858007509,-0.793659679,0.135187105,2.437773962,-1.820976807,1.04335185,-0.237583741,1.262357995
claude-version,CE,010,B,9.0,7.0,3.574074,48.0,0.066187,0.445833,0.418182,9.0,4.0,0.73913,55.0,1.0,55.0,2.472816566,0.895892151,0.17733532,2.219995059,-1.377463994,-1.165539118,-0.638514591,2.104887524,2.437773962,-1.75007313,1.771430906,-0.237583741,2.058175106
