version,direction,model,n,clause_count_mean,clause_count_std,clause_count_native_z_mean,dependency_depth_mean,dependency_depth_std,dependency_depth_native_z_mean,mean_dependency_distance_mean,mean_dependency_distance_std,mean_dependency_distance_native_z_mean,max_dependency_distance_mean,max_dependency_distance_std,max_dependency_distance_native_z_mean,normalized_dependency_distance_mean,normalized_dependency_distance_std,normalized_dependency_distance_native_z_mean,nominalization_ratio_mean,nominalization_ratio_std,nominalization_ratio_native_z_mean,modifier_density_mean,modifier_density_std,modifier_density_native_z_mean,coordination_count_mean,coordination_count_std,coordination_count_native_z_mean,passive_or_beishi_count_mean,passive_or_beishi_count_std,passive_or_beishi_count_native_z_mean,sentence_compression_ratio_mean,sentence_compression_ratio_std,sentence_compression_ratio_native_z_mean,token_count_mean,token_count_std,token_count_native_z_mean,sentence_count_mean,sentence_count_std,sentence_count_native_z_mean,avg_sentence_length_mean,avg_sentence_length_std,avg_sentence_length_native_z_mean
kimi-version,EC,anthropic__claude-sonnet-4.6,200,12.075,3.295356582,3.498569365,5.555,0.936469434,0.99827498,4.195368115,0.772517056,0.340109858,29.48,9.637925088,0.988145716,0.057672805,0.016556846,-2.150057236,0.490439965,0.065155909,-0.126670095,0.365458925,0.058790549,0.197129154,4.2,3.76696164,0.947700554,1.85,1.785357107,1.5606605,1.47579063,0.232489409,-2.018226005,78.385,14.841724125,4.880239113,2.885,0.949618344,18.474923902,29.67316666,9.563935268,0.224321433
kimi-version,EC,deepseek__deepseek-v4-flash,200,12.11,3.293615035,3.514468649,5.565,0.96735464,1.006957142,4.179410915,0.793019239,0.32513154,29.48,9.744721648,0.988145716,0.05773743,0.017322742,-2.148669191,0.489596165,0.065060587,-0.133639853,0.365445645,0.059719672,0.197001899,4.23,3.827152989,0.959111301,1.795,1.803600566,1.495445238,1.46908178,0.227130978,-2.020025921,78.145,15.027108005,4.85721088,2.905,0.957065828,18.671989757,29.425250005,9.738834058,0.200466494
kimi-version,EC,google__gemini-3-flash-preview,200,12.15,3.326785235,3.53263926,5.54,0.915641851,0.985251737,4.15827235,0.758690374,0.305289705,29.4,9.69484399,0.979975002,0.057421985,0.016273991,-2.155444459,0.49109586,0.065651164,-0.121252427,0.36612508,0.059092379,0.203512596,4.255,3.834054642,0.968620256,1.81,1.79273534,1.513231219,1.46672186,0.229343893,-2.020659064,78.005,14.818062458,4.843777744,2.89,0.952837867,18.524190366,29.47608333,9.495183807,0.205357758
kimi-version,EC,moonshotai__kimi-k2.5,200,12.065,3.260486927,3.494026712,5.535,0.948037447,0.980910656,4.182883845,0.79143638,0.328391426,29.645,9.865038013,1.004997813,0.057734855,0.017175942,-2.148724498,0.491313615,0.065407359,-0.119453778,0.368969435,0.056713529,0.230768678,4.245,3.837313513,0.964816674,1.815,1.789070988,1.519159879,1.469475225,0.224173063,-2.019920364,78.12,14.703931447,4.854812105,2.895,0.950775999,18.573456829,29.47525,9.531413848,0.205277574
kimi-version,EC,openai__gpt-5.2,200,12.145,3.372532431,3.530367933,5.535,0.932081005,0.980910656,4.190966985,0.778663509,0.335978712,29.355,9.004941699,0.975378975,0.057621015,0.017179994,-2.151169604,0.490377265,0.065037433,-0.127187995,0.365401385,0.059825879,0.196577776,4.215,3.811663023,0.953405927,1.88,1.801554884,1.596232461,1.475398825,0.228950172,-2.018331122,78.48,14.935514722,4.889354455,2.895,0.950775999,18.573456829,29.532999995,9.258456195,0.210834371
kimi-version,EC,openai__gpt-5.5,200,12.13,3.32010542,3.523553954,5.545,0.931651759,0.989592818,4.170834745,0.745013097,0.317081469,29.235,9.049849446,0.963122904,0.057397485,0.016290772,-2.155970681,0.48924797,0.064652287,-0.136515931,0.367163955,0.058043389,0.213467634,4.26,3.79241348,0.970522047,1.875,1.785882135,1.590303801,1.472734935,0.227663771,-2.019045817,78.375,15.144780454,4.879279603,2.91,0.975653627,18.721256221,29.42708333,9.543213481,0.2006429
