version,direction,id,candidate,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_or_beishi_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length,clause_count_native_z,dependency_depth_native_z,mean_dependency_distance_native_z,max_dependency_distance_native_z,normalized_dependency_distance_native_z,nominalization_ratio_native_z,modifier_density_native_z,coordination_count_native_z,passive_or_beishi_count_native_z,sentence_compression_ratio_native_z,token_count_native_z,sentence_count_native_z,avg_sentence_length_native_z
claude-version,EC,054,C,15.0,5.0,4.245098,35.0,0.041619,0.399375,0.295238,3.0,5.0,1.444444,105.0,3.0,35.0,4.827295265,0.516414992,0.386789101,1.551924977,-2.494867984,-0.878863403,-0.475764088,0.491270684,5.295716399,-2.026635986,7.433974214,19.608052568,0.736877901
claude-version,EC,055,A,13.0,5.0,4.607595,27.0,0.058324,0.521538,0.378049,7.0,6.0,1.597015,82.0,3.0,27.333333,3.918764735,0.516414992,0.727048997,0.734853584,-2.136070581,0.130198545,0.317773768,2.012703584,6.48144843,-1.985702742,5.227101874,19.608052568,-0.000821123
claude-version,EC,055,B,11.0,6.0,4.313953,29.0,0.050162,0.50137,0.382022,7.0,6.0,1.656716,89.0,3.0,29.666667,3.010234205,1.384631187,0.451420243,0.939121432,-2.311377639,-0.036388403,0.35584511,2.012703584,6.48144843,-1.969685572,5.898758673,19.608052568,0.223696025
claude-version,EC,055,C,10.0,5.0,4.940476,30.0,0.058815,0.515217,0.436782,7.0,6.0,1.671642,87.0,3.0,29.0,2.55596894,0.516414992,1.039509663,1.041255356,-2.125524665,0.077987315,0.880583769,2.012703584,6.48144843,-1.965681079,5.706856731,19.608052568,0.159548255
claude-version,EC,056,A,6.0,4.0,4.315789,26.0,0.056787,0.369697,0.506329,1.0,2.0,1.063291,79.0,3.0,26.333333,0.73890788,-0.351801202,0.453143615,0.63271966,-2.169082949,-1.124002606,1.547019114,-0.269445767,1.738520305,-2.128895451,4.93924896,19.608052568,-0.097042731
claude-version,EC,056,B,7.0,5.0,3.471429,20.0,0.049592,0.497458,0.452055,7.0,2.0,1.025316,73.0,3.0,24.333333,1.193173145,0.516414992,-0.339419759,0.019916115,-2.323620351,-0.068701381,1.026937559,2.012703584,1.738520305,-2.139083757,4.363543132,19.608052568,-0.289485946
claude-version,EC,056,C,8.0,6.0,4.093333,29.0,0.054578,0.410656,0.467532,0.0,1.0,1.075949,77.0,2.0,38.5,1.64743841,1.384631187,0.24433401,0.939121432,-2.216528831,-0.785682752,1.175246182,-0.649803992,0.552788273,-2.125499439,4.747347017,9.75475982,1.073653528
claude-version,EC,057,A,12.0,6.0,4.416667,30.0,0.061343,0.520492,0.373333,6.0,2.0,1.761905,75.0,3.0,25.0,3.46449947,1.384631187,0.54783333,1.041255356,-2.071227159,0.121558623,0.272582616,1.632345359,1.738520305,-1.941464436,4.555445075,19.608052568,-0.225338176
claude-version,EC,057,B,14.0,6.0,4.380952,35.0,0.052154,0.507534,0.390805,4.0,1.0,2.063492,87.0,3.0,29.0,4.37303,1.384631187,0.51430924,1.551924977,-2.268592579,0.014526014,0.440008362,0.871628909,0.552788273,-1.860551718,5.706856731,19.608052568,0.159548255
claude-version,EC,057,C,13.0,6.0,5.130952,34.0,0.061083,0.493836,0.310345,9.0,2.0,2.111111,87.0,3.0,29.0,3.918764735,1.384631187,1.218301057,1.449791053,-2.076811554,-0.09861897,-0.331000996,2.773420035,1.738520305,-1.847776025,5.706856731,19.608052568,0.159548255
claude-version,EC,058,A,11.0,7.0,4.493827,43.0,0.055479,0.49403,0.409639,9.0,6.0,1.742424,83.0,2.0,41.5,3.010234205,2.252847381,0.620260009,2.36899637,-2.197176753,-0.097016537,0.620485496,2.773420035,6.48144843,-1.94669099,5.323052845,9.75475982,1.36231835
claude-version,EC,058,B,12.0,7.0,4.860759,50.0,0.061529,0.469118,0.419753,12.0,1.0,1.727273,81.0,2.0,40.5,3.46449947,2.252847381,0.964682843,3.083933838,-2.067232168,-0.302788753,0.717403078,3.91449471,0.552788273,-1.950755849,5.131150903,9.75475982,1.266096743
