version,model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,in_sample_accuracy,n_pairwise_observations,n_clusters
kimi-version,openai__gpt-5.2,sentence_compression_ratio,0.0587,0.120094,0.488786,0.624993,-0.176684,0.294085,False,0.7075,1200,400
kimi-version,openai__gpt-5.2,target_function_word_density,-0.595618,0.088687,-6.715919,0.0,-0.769445,-0.42179,True,0.7075,1200,400
kimi-version,openai__gpt-5.2,target_passive_density,-0.19424,0.084695,-2.293413,0.021824,-0.360241,-0.028238,True,0.7075,1200,400
kimi-version,openai__gpt-5.2,target_pronoun_subject_ratio,0.033242,0.078231,0.424924,0.670892,-0.120091,0.186575,False,0.7075,1200,400
kimi-version,openai__gpt-5.2,target_explicit_connective_density,-0.389396,0.071808,-5.42277,0.0,-0.530138,-0.248653,True,0.7075,1200,400
kimi-version,openai__gpt-5.2,target_nominalization_suffix_density,-0.057233,0.074989,-0.763213,0.445336,-0.204211,0.089746,False,0.7075,1200,400
kimi-version,openai__gpt-5.2,target_avg_sentence_length,0.248836,0.101889,2.442218,0.014597,0.049133,0.44854,True,0.7075,1200,400
kimi-version,openai__gpt-5.2,mtld,0.0,0.0,,,0.0,0.0,False,0.7075,1200,400
kimi-version,openai__gpt-5.2,cohesion_mean_overlap,-0.083209,0.075503,-1.102065,0.270434,-0.231195,0.064777,False,0.7075,1200,400
kimi-version,openai__gpt-5.2,content_word_ratio,0.084613,0.093344,0.906469,0.364688,-0.09834,0.267567,False,0.7075,1200,400
kimi-version,openai__gpt-5.2,clause_density,0.061911,0.110891,0.558306,0.576636,-0.155435,0.279258,False,0.7075,1200,400
kimi-version,openai__gpt-5.2,explicit_subject_ratio,-0.109531,0.075495,-1.450836,0.146826,-0.2575,0.038439,False,0.7075,1200,400
kimi-version,openai__gpt-5.2,lexical_frequency_deviation,-0.322279,0.088542,-3.639828,0.000273,-0.495822,-0.148736,True,0.7075,1200,400
